Name,Price,Growth,Monthly Growth,Subs,Funds,Weeks,Trades,Winrate,DD
GFO2080 10000,30 USD,1 443%,Profit/Month: 55%,0,0 USD,82,285,83%,25%
Daily 500,30 USD,308%,Profit/Month: 37%,0,0 USD,10,425,79%,37%
QS Good1,39 USD,115%,Profit/Month: 31%,0,0 USD,11,760,72%,15%
Yidian123,30 USD,349%,Profit/Month: -36%,0,0 USD,73,246,58%,52%
Arash03,30 USD,153%,Profit/Month: 46%,0,0 USD,8,202,69%,28%
Infinity FX,30 USD,95%,Profit/Month: 13%,0,0 USD,51,625,72%,28%
ABCyidi,300 USD,268%,Profit/Month: -23%,0,0 USD,99,531,49%,46%
RAMO LOW RISK G,100 USD,177%,Profit/Month: 4%,0,0 USD,93,255,92%,38%
MadMonkeyLabTeamG,99 USD,101%,Profit/Month: 33%,0,0 USD,27,443,48%,23%
Pityuks EA IC Markets,30 USD,94%,Profit/Month: 9%,2,4.8K USD,15,382,62%,24%
Kawi,200 USD,159%,Profit/Month: -1%,0,0 USD,171,4 072,54%,9%
Tradelikeapro,31 USD,311%,Profit/Month: 1%,0,0 USD,143,1 617,78%,52%
ARCHER Moderate,30 USD,560%,Profit/Month: 15%,8,53K USD,13,152,88%,8%
CT Insta 2,30 USD,100%,Profit/Month: 35%,0,0 USD,10,105,61%,13%
Jack BA Signal 200,40 USD,136%,Profit/Month: 1%,0,0 USD,64,974,87%,42%
PT Pro,30 USD,96%,Profit/Month: 24%,0,0 USD,11,1 188,63%,33%
Triangle Trend System,20 USD,89%,Profit/Month: -3%,0,0 USD,305,1 441,65%,36%
R Factor Mean Reversal,30 USD,89%,Profit/Month: 4%,0,0 USD,25,1 525,69%,20%
Hedged B,30 USD,94%,Profit/Month: 4%,0,0 USD,55,1 961,60%,43%
DAINESE D,30 USD,225%,Profit/Month: 1%,0,0 USD,85,1 170,67%,39%
Never Settle,50 USD,92%,Profit/Month: -14%,0,0 USD,12,125,50%,22%
PONDALFX,30 USD,90%,Profit/Month: 21%,0,0 USD,42,308,66%,15%
Datainversores,30 USD,90%,Profit/Month: 4%,0,0 USD,19,139,61%,30%
